id,item_id,Condition,share01
94,25,0,True
94,26,0,False
94,27,0,False
94,28,0,False
94,29,0,False
94,31,0,False
94,32,0,False
94,33,0,False
94,34,0,False
94,35,0,False
94,36,0,False
96,19,1,False
96,20,1,False
96,21,1,False
96,22,1,False
96,23,1,False
96,24,1,False
96,25,1,False
96,26,1,False
96,27,1,False
96,28,1,False
96,29,1,False
96,30,1,False
96,31,1,False
96,32,1,False
96,33,1,False
96,34,1,False
96,35,1,False
96,36,1,False
99,19,1,False
99,20,1,False
99,21,1,False
99,22,1,False
99,23,1,False
99,24,1,False
99,25,1,False
99,26,1,False
99,27,1,False
99,28,1,False
99,29,1,False
99,30,1,False
99,31,1,False
99,32,1,False
99,33,1,False
99,34,1,False
99,35,1,False
99,36,1,False
103,19,0,False
103,20,0,False
103,21,0,False
103,22,0,False
103,23,0,False
103,24,0,False
103,25,0,False
103,26,0,False
103,27,0,False
103,28,0,False
103,29,0,False
103,31,0,False
103,32,0,False
103,33,0,False
103,34,0,False
103,35,0,False
103,36,0,False
104,19,1,False
104,20,1,False
104,21,1,False
104,22,1,False
104,23,1,False
104,24,1,False
104,25,1,False
104,26,1,False
104,27,1,False
104,28,1,False
104,29,1,False
104,30,1,False
104,31,1,False
104,32,1,False
104,33,1,False
104,34,1,False
104,35,1,False
104,36,1,False
107,19,1,False
107,20,1,False
107,21,1,False
107,22,1,False
107,23,1,False
107,24,1,False
107,25,1,False
107,26,1,False
107,27,1,False
107,28,1,False
107,29,1,False
107,30,1,False
107,31,1,False
107,32,1,False
107,33,1,False
107,34,1,False
107,35,1,False
107,36,1,False
108,19,0,False
108,20,0,False
108,21,0,False
108,22,0,False
108,23,0,False
108,24,0,False
108,25,0,True
108,26,0,True
108,27,0,False
108,28,0,False
108,29,0,False
108,31,0,False
108,32,0,False
108,33,0,False
108,34,0,False
108,35,0,False
108,36,0,True
109,19,0,False
109,20,0,False
109,21,0,False
109,22,0,False
109,23,0,False
109,24,0,False
109,25,0,False
109,26,0,False
109,27,0,False
109,28,0,False
109,29,0,False
109,31,0,False
109,32,0,False
