rid,Condition,fake_index,share,share01
5e6bfeb0-0e17-7367-2985-0f30d338f03d,2,1,1.0,0.0
5e6bfe6e-c351-e38b-c775-478527680de2,2,1,5.0,0.8
5e6c0b91-2f2d-c1ad-fa3b-0a1dc7e0029e,2,1,1.0,0.0
5e6c1ce1-8939-171e-d245-78838fd81587,1,1,6.0,1.0
5e6c1c72-e962-c0de-5bbd-5803d0238a23,2,1,2.0,0.2
5e6c1ce5-7271-90e2-3367-1e2da18fdbe1,1,1,2.0,0.2
5e6c1d30-833f-bad9-73ad-572638bbcdf0,2,1,3.0,0.4
5e6c1c0b-198a-9348-825f-7d67eb5b614d,2,1,1.0,0.0
5e6c1cba-961a-df64-b468-45a2b358f92e,2,1,2.0,0.2
5e6c1c9e-a6bc-c097-90ed-db61c6efc115,2,1,3.0,0.4
5e6c1df0-2cb7-7e69-a169-d6dee4d34ba3,2,1,1.0,0.0
5e6c1de1-233a-50ab-b624-ee77c19d5219,1,1,6.0,1.0
5e6c1c8e-7013-8cb0-f70a-0b5baa8bc277,2,1,1.0,0.0
5e6c1f53-af31-6231-dc29-ebe1ec39e244,1,1,1.0,0.0
5e6c1c83-ceda-d520-0730-4763509f2753,2,1,1.0,0.0
5e6c1dec-6893-2e49-904d-02bd3838236d,2,1,6.0,1.0
5e6c1ce2-b4c1-8e4b-5878-bed96c76adad,1,1,3.0,0.4
5e6c12bf-d174-7c50-641e-592310e7d914,1,1,2.0,0.2
5e6c1e30-0bcc-31ac-dd88-63763ac5ffc4,2,1,6.0,1.0
5e6c1ef2-64a8-1384-6b6d-b9f9e9cc01da,1,1,3.0,0.4
5e6c1fa7-77a1-b4ae-3bd7-d9c0727b0165,1,1,4.0,0.6
5e6c1f00-7dd8-02be-b53b-5bf9a1be7779,2,1,3.0,0.4
5e6c1d9c-e19b-fb76-c625-c6839647d39b,2,1,3.0,0.4
5e6c1ed7-cd43-8e23-ce1d-2b9697163422,1,1,2.0,0.2
5e6c1ff5-0a0c-42ea-aa96-8786d0a3fc77,1,1,6.0,1.0
5e6c1f85-a160-9c66-2acb-6fc5215e73a9,2,1,4.0,0.6
5e6c205d-2478-03b1-5329-764a95475bc2,2,1,1.0,0.0
5e6c2096-c787-6e27-974a-5b68183e6459,1,1,1.0,0.0
5e6c1e26-6771-db3f-01ab-a29776c3ad2e,2,1,3.0,0.4
5e6c1ea8-11e0-dd0d-d250-0c6786b0bbee,1,1,3.0,0.4
5e6c20ed-eba1-db28-64b5-d3cd571929db,2,1,2.0,0.2
5e6c2063-e0ac-7364-a2cd-287850b95b1e,1,1,1.0,0.0
5e6c20d0-ed1d-40a7-2880-31dc5e3f6fac,1,1,1.0,0.0
5e6c20f7-dfe4-adf4-0bbf-a59e5f2c6c16,2,1,3.0,0.4
5e6c2012-4952-dbd0-33a6-bc9fa24ab2c5,1,1,4.0,0.6
5e6c2211-2895-3b37-f7b5-147961001dde,2,1,1.0,0.0
5e6c234d-0c67-8187-6549-3396538f6bc9,1,1,1.0,0.0
5e6c22da-f239-7398-94be-b41615b5c10e,2,1,1.0,0.0
5e6c2357-2a90-4583-acb5-50f31ce68bac,1,1,3.0,0.4
5e6c227b-5229-7dc9-57ad-ed432ea9b0ed,2,1,3.0,0.4
5e6c22ad-6c59-5e3a-c17f-459f4d3e898f,1,1,3.0,0.4
5e6c23c2-5531-ec92-333a-d5c25ba03eff,2,1,5.0,0.8
5e6c2095-5c2b-e253-fd01-d511d6233be6,1,1,6.0,1.0
5e6c23b7-8c75-1c6e-0019-fa3d738b3589,2,1,4.0,0.6
5e6c2487-1a7b-b23f-9f0d-edda9909094a,1,1,4.0,0.6
5e6c2028-5e93-1669-614b-bd255646ec62,2,1,6.0,1.0
5e6c2925-e387-92a7-c96c-f3cb5761b136,1,1,4.0,0.6
5e6c2a51-427f-f9e9-f65b-3493da27d230,1,1,4.0,0.6
5e6c2960-adbc-dd8f-56cc-9ffb9e206a20,2,1,1.0,0.0
5e6c2937-d2b0-6d0e-2a95-de2669dc79b2,2,1,4.0,0.6
5e6c2b21-8ed4-1a18-3668-01acba708385,2,1,4.0,0.6
5e6c2a69-6dc9-a00d-624b-20272cdf32a8,2,1,6.0,1.0
5e6c2cf8-ad85-dded-4e25-0d0eb931fd29,1,1,2.0,0.2
5e6c302d-2ba3-551e-7ed5-b4895f28be9e,1,1,1.0,0.0
5e6c2ae9-ff0f-a07b-f1e8-f7b6c11fa31a,2,1,6.0,1.0
5e6c31cb-95bb-e0d0-4de1-7bc279817b8a,1,1,2.0,0.2
5e6c31bc-8bdb-30a8-72ac-14b8ccfeb683,2,1,2.0,0.2
5e6c30c7-01cb-09c6-5b35-7d50a01e38a3,1,1,1.0,0.0
5e6c34b6-ecc0-47ab-e841-ba340be80495,2,1,2.0,0.2
5e6c34a7-6bd8-b386-6311-f3526d931100,1,1,3.0,0.4
5e6c36b4-71dc-b822-ac84-72ba9a2f5497,2,1,1.0,0.0
5e6c2a8a-a163-f87a-877d-5b03a0dac562,2,1,5.0,0.8
5e6c387c-b45d-2b68-9123-444879ed7a32,1,1,4.0,0.6
5e6c1c92-0620-2145-4bea-497cbcd3f61b,1,1,5.0,0.8
5e6c3a48-d6ea-5e0d-be76-47f8b3ca9034,1,1,2.0,0.2
5e6c3a68-870d-8ed3-a31f-6ec43cf2000f,2,1,1.0,0.0
5e6c3bcd-1577-cce3-243c-1ec48874ed20,1,1,2.0,0.2
5e6c2020-ffcf-91b0-fa6b-08e8273c8ed1,1,1,6.0,1.0
5e6c3bd1-c6f2-7f74-28c8-8598ae811a37,2,1,6.0,1.0
5e6c3ca7-930d-315f-4983-a401ef27ed94,2,1,4.0,0.6
5e6c39ee-2d38-a79a-023d-3ace8e724cf4,1,1,5.0,0.8
5e6c39dc-34a9-a958-332e-c4254b3b614b,1,1,1.0,0.0
5e6c3a8a-c24d-44a3-4c01-e86c6a8107ec,1,1,4.0,0.6
5e6c3be2-9b2b-6ad0-1745-a5ed5afcc361,1,1,3.0,0.4
5e6c3f62-74ab-36c9-aa51-effe760d96c5,1,1,1.0,0.0
5e6c404a-2629-6ff0-beb4-ea74a476ea8b,1,1,5.0,0.8
5e6c40d0-eaa2-9641-553a-561a551162f4,1,1,1.0,0.0
5e6c3e83-dc06-50c1-5cb4-242ef1a46920,2,1,1.0,0.0
5e6c4122-45f0-5158-2c04-efce08ecc02f,1,1,2.0,0.2
5e6c411f-39c0-1928-3fde-1d792e0912e9,2,1,5.0,0.8
5e6c3a71-1ede-b8cf-810d-dbb90822c8c5,2,1,3.0,0.4
5e6c4161-cccd-d5e0-2903-162ffe0f102e,1,1,4.0,0.6
5e6c4898-9343-1759-f622-80609f6451dd,1,1,5.0,0.8
5e6c45d0-5716-d043-ea1c-2c371ca5f85c,2,1,3.0,0.4
5e6c410c-9c40-7317-7793-2648e7350ba1,1,1,1.0,0.0
5e6c478c-6a23-d5e0-1287-877d66460fce,1,1,3.0,0.4
5e6c435d-4797-01d9-5cae-ec9484692a23,1,1,2.0,0.2
5e6c4b97-4685-5c1b-0fd4-710443d6f62c,2,1,2.0,0.2
5e6c4701-0cf1-ee15-75ce-abe759d4e5c3,1,1,5.0,0.8
5e6c47ae-a764-df39-6b91-b8f80937f70c,2,1,6.0,1.0
5e6c3986-e27c-5011-2a06-224176f18a46,2,1,1.0,0.0
5e6c4c81-9b51-11c2-5b42-24467b2992f0,1,1,5.0,0.8
5e6c4f50-5662-c9ab-3f71-968c3a2e6642,1,1,2.0,0.2
5e6c511a-3587-c16e-0ad8-6957142227ea,2,1,1.0,0.0
5e6c53d1-cb20-b977-acc9-e4edab8bce1f,2,1,2.0,0.2
5e6c539b-040d-0b2e-14d0-652ba8f31b9b,1,1,2.0,0.2
5e6c559b-acfe-32b2-1740-7f700b7c9f63,1,1,1.0,0.0
5e6c5314-ef2d-d38e-bca3-29b5ca0f9897,1,1,1.0,0.0
5e6c58ea-485c-5c39-afb9-b83f62d809c4,1,1,1.0,0.0
5e6c5e3d-531f-8255-c5e7-689191c23e2f,2,1,2.0,0.2
5e6c5bfc-e7e5-98b6-2d6c-64dda6622eec,1,1,4.0,0.6
5e6c5e36-965c-0054-625e-f3937a9e7950,2,1,4.0,0.6
5e6c6164-ef71-81c8-7e8b-75c9c0fc0446,2,1,3.0,0.4
5e6c6621-526d-3a9d-2f86-997655a359bb,1,1,1.0,0.0
5e6c6aa4-608e-6c5a-c194-2f797b6311fb,2,1,1.0,0.0
5e6c6d6c-651d-7faa-629a-57377716275c,2,1,4.0,0.6
5e6c70c7-8445-1aa3-07eb-7b202dea3456,1,1,1.0,0.0
5e6c7ccc-0ad1-c59d-3ffc-1de71f086b53,2,1,6.0,1.0
5e6c7a4b-d214-2f1c-db42-cbf598dd126d,1,1,5.0,0.8
5e6c8082-4759-ebed-02c2-a4dee21c37de,2,1,1.0,0.0
5e6c8070-0fd6-4457-1f46-ebee5bbd677c,2,1,3.0,0.4
5e6c8477-0909-6ebd-34fc-3e045bebcc35,2,1,5.0,0.8
5e6ca365-fd5f-cd69-b4c7-345cdec58fdc,2,1,4.0,0.6
5e6ca1f4-a872-d318-cdf3-366d344e3c92,1,1,1.0,0.0
5e6cb2e5-3427-ab0c-9712-15160e6f1543,1,1,4.0,0.6
5e6cba67-2823-410d-b384-fde4e5da7e31,2,1,5.0,0.8
5e6cbcfc-b558-6f30-3dc8-189a3ee5e2e9,2,1,1.0,0.0
5e6cc364-08a1-54f1-304c-473f1e9a94c3,2,1,1.0,0.0
5e6cbdbb-f195-5168-4fd5-dc124d6fa12a,1,1,1.0,0.0
5e6cbf60-f02d-5dca-fe5d-acfb30e39b8e,2,1,4.0,0.6
5e6ccbb6-a3d3-5afe-754e-81b2db9a23de,1,1,1.0,0.0
5e6ccc53-5679-c306-bc7e-632996651a93,2,1,1.0,0.0
5e6ccc62-9ec9-e46f-6b3c-023c29996b40,2,1,1.0,0.0
5e6ccc3b-bbca-b631-e101-e2912ec770d2,1,1,3.0,0.4
5e6cd2e5-1f23-bd82-c280-715a663c235f,1,1,1.0,0.0
5e6ccf05-fec4-1aef-a06b-5d579ebf797f,2,1,1.0,0.0
5e6cd077-b9a2-f66f-1f04-9ef6d065be08,1,1,1.0,0.0
5e6cd256-ff0f-9f56-659f-d9c749928dfa,1,1,6.0,1.0
5e6cd285-15e6-b66b-9379-8f63ffa24ab7,2,1,3.0,0.4
5e6cd1de-8b4f-78d0-8475-92795ff41417,2,1,2.0,0.2
5e6cd645-49b8-1453-1c79-fa17c2c7f407,2,1,1.0,0.0
5e6ce0f1-4252-ce61-36dc-ea44e39d299a,2,1,1.0,0.0
